,GISS ,QAMC ,MRDS ,IGRD ,NLCS ,MARK ,MPHC ,SALM ,DOBK ,QIIB ,QGTS ,QNNC ,BLDN ,QINS ,ERES ,QNBK ,VFQS ,COMB ,GWCS ,QIMC ,AHCS ,QISB ,QOIS ,KINS ,ORDS ,QIGD ,QGMS ,IQCD ,BRES ,UDCD ,DBIS ,QFLS ,QFBQ ,QEWC ,MKDM ,QANC ,DICO ,MCCS ,MCGS ,FALH ,IHGS ,WDAM ,MERS ,QIIC ,QLMI ,QGIR ,ZHCD ,AABQ ,QCFD 
"Feb 01, 2021",1.600,0.943,1.253,0.549,1.215,4.380,1.977,0.640,2.281,8.915,3.319,7.478,1.79,2.404,1.722,17.500,1.473,4.281,5.205,3.020,0.866,16.900,0.860,2.750,8.468,1.887,3.268,11.910,3.299,1.565,2.687,18.150,1.577,17.800,,4.474,1.572,2.982,8.700,,5.410,6.041,20.000,6.885,3.82,2.549,,3.429,3.876
"Jan 31, 2021",1.595,0.940,1.253,0.543,1.211,4.345,1.985,0.640,2.280,8.802,3.298,7.580,1.78,2.418,1.687,17.910,1.453,4.291,5.160,2.999,0.842,16.510,0.841,2.784,8.400,1.964,3.225,12.000,3.302,1.561,2.637,18.250,1.570,17.800,,4.312,1.555,3.004,8.695,,5.314,6.030,20.000,6.899,3.72,,12.987,3.438,3.858
"Jan 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 29, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 28, 2021",1.583,0.950,1.259,0.556,1.216,4.390,2.029,0.649,2.302,8.900,3.299,7.700,1.78,2.450,1.707,18.010,1.500,4.278,5.180,3.020,0.857,16.600,0.843,2.751,8.330,2.028,3.210,12.050,3.305,1.566,2.716,18.660,1.577,17.800,,4.262,1.548,3.022,8.800,,5.339,6.037,20.190,6.780,3.76,,12.978,3.438,
"Jan 27, 2021",1.624,0.959,1.275,0.568,1.236,4.450,2.045,0.647,2.315,8.900,3.380,7.725,1.81,2.480,1.740,17.920,1.539,4.330,5.137,3.038,0.871,17.000,0.858,2.690,8.260,1.991,3.178,12.100,3.360,1.601,2.896,18.950,1.575,18.080,,4.019,1.500,3.020,8.810,,5.412,6.100,20.310,6.900,3.76,,12.727,,3.873
"Jan 26, 2021",1.634,0.970,1.280,0.567,1.251,4.442,2.034,0.645,2.364,9.060,3.330,7.700,1.82,2.470,1.786,17.820,1.482,4.320,5.250,3.010,0.876,16.990,0.870,2.748,8.360,1.810,3.203,12.010,3.409,1.625,3.013,18.760,1.585,18.140,,4.100,1.535,2.999,8.779,,5.590,6.180,20.700,6.911,3.72,,12.987,3.429,
"Jan 25, 2021",1.633,0.973,1.288,0.572,1.245,4.445,2.040,0.650,2.370,9.021,3.390,7.697,1.80,2.497,1.775,18.000,1.478,4.301,5.270,3.040,0.880,16.950,0.861,2.499,8.260,1.810,3.250,12.010,3.419,1.670,2.816,19.010,1.579,18.160,,4.101,1.548,2.973,8.800,,5.400,6.177,20.500,7.010,3.77,,12.987,,3.880
"Jan 24, 2021",1.650,0.973,1.316,0.571,1.250,4.409,2.049,0.647,2.380,8.950,3.470,7.740,1.75,2.494,1.784,18.100,1.440,4.397,5.193,3.090,0.872,17.000,0.862,2.413,8.427,1.833,3.203,12.000,3.416,1.684,2.910,19.050,1.592,18.150,,4.095,1.540,2.989,8.830,,5.600,6.210,20.390,7.120,3.73,,13.143,,3.888
"Jan 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 22, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 21, 2021",1.670,0.976,1.285,0.571,1.247,4.403,2.046,0.650,2.375,9.030,3.468,7.770,1.73,2.490,1.767,18.250,1.450,4.410,5.194,3.136,0.860,17.100,0.856,2.194,8.429,1.830,3.221,12.050,3.413,1.680,3.018,19.000,1.608,18.300,,4.197,1.540,2.989,8.768,,5.263,6.200,20.450,7.000,3.77,2.590,12.987,3.614,3.888
"Jan 20, 2021",1.660,0.976,1.285,0.564,1.263,4.422,2.052,0.643,2.400,9.153,3.489,7.780,1.74,2.489,1.770,18.430,1.440,4.401,5.160,3.054,0.858,17.270,0.852,1.995,8.510,1.817,3.140,12.090,3.417,1.695,2.746,19.100,1.586,18.390,,4.200,1.545,2.985,8.751,,5.301,6.210,20.600,7.097,3.76,2.620,,,
"Jan 19, 2021",1.650,0.974,1.282,0.566,1.258,4.520,2.060,0.647,2.408,9.220,3.473,7.652,1.73,2.484,1.777,18.500,1.440,4.420,5.150,3.103,0.840,17.210,0.858,1.982,8.330,1.839,2.855,11.700,3.440,1.694,2.622,19.150,1.531,18.320,,4.181,1.510,2.971,8.820,,5.520,6.250,20.810,7.100,3.60,,12.900,,3.542
"Jan 18, 2021",1.646,0.975,1.290,0.561,1.249,4.580,2.074,0.640,2.416,9.403,3.450,7.730,1.73,2.530,1.664,18.560,1.449,4.420,5.160,3.229,0.834,17.280,0.850,1.965,8.375,1.834,2.596,12.150,3.500,1.653,2.612,19.150,1.529,18.440,,4.249,1.500,2.988,8.850,,5.402,6.275,20.800,7.100,3.77,2.634,12.978,3.667,
"Jan 17, 2021",1.679,0.975,1.298,0.567,1.250,4.594,2.063,0.638,2.406,9.441,3.409,7.760,1.73,2.545,1.658,18.490,1.440,4.415,5.170,3.229,0.830,17.590,0.854,1.964,8.442,1.807,2.360,12.000,3.516,1.615,2.630,19.140,1.570,18.400,,4.255,1.498,2.945,8.920,,5.200,6.299,21.000,7.061,3.91,2.400,12.987,3.429,
"Jan 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 15, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 14, 2021",1.697,0.979,1.296,0.566,1.247,4.578,2.085,0.643,2.419,9.490,3.453,7.900,1.74,2.587,1.679,18.620,1.449,4.460,5.219,3.190,0.840,17.550,0.857,1.935,8.420,1.805,2.380,12.100,3.533,1.608,2.569,19.200,1.581,18.400,,4.299,1.498,2.969,8.920,,5.150,6.280,20.900,7.078,3.92,2.644,12.987,,
"Jan 13, 2021",1.710,0.969,1.304,0.572,1.256,4.596,2.091,0.640,2.420,9.444,3.460,7.880,1.75,2.579,1.680,18.860,1.440,4.471,5.220,3.190,0.843,17.400,0.845,1.925,8.523,1.803,2.353,11.600,3.544,1.590,2.575,19.150,1.546,18.400,,4.256,1.470,2.970,8.861,,5.099,6.270,21.000,7.200,,2.585,13.056,3.352,3.531
"Jan 12, 2021",1.714,0.973,1.249,0.574,1.240,4.585,2.090,0.637,2.403,9.524,3.460,7.900,1.75,2.585,1.669,18.830,1.444,4.484,5.240,3.200,0.845,17.480,0.849,1.915,8.340,1.810,2.400,11.390,3.540,1.582,2.603,19.120,1.524,18.440,,4.270,1.460,2.970,8.950,,5.023,6.284,21.200,7.150,,,12.987,3.334,3.500
"Jan 11, 2021",1.701,0.967,1.230,0.571,1.230,4.594,2.090,0.637,2.426,9.500,3.450,7.900,1.71,2.589,1.729,18.920,1.430,4.419,5.239,3.159,0.844,17.590,0.868,1.920,8.135,1.812,2.340,11.450,3.520,1.576,2.619,19.040,1.496,18.490,,4.299,1.419,2.970,8.990,,5.096,6.270,21.000,7.200,,2.585,12.987,3.333,3.500
"Jan 10, 2021",1.716,0.975,1.246,0.580,1.240,4.568,2.067,0.643,2.409,9.321,3.330,7.652,1.74,2.577,1.760,18.700,1.410,4.386,5.230,3.150,0.848,17.450,0.870,1.925,7.961,1.812,2.351,11.300,3.447,1.574,2.634,19.000,1.497,18.400,,4.300,1.410,2.995,8.900,,5.063,6.270,20.850,7.000,,2.586,12.987,3.333,3.800
"Jan 09, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 08, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 07, 2021",1.716,0.979,1.260,0.587,1.248,4.568,2.074,0.647,2.397,9.299,3.260,7.258,1.76,2.498,1.785,18.740,1.399,4.400,5.200,3.145,0.852,17.490,0.879,1.919,7.758,1.816,2.280,11.230,3.420,1.590,2.667,19.000,1.509,18.290,,4.348,1.384,2.998,8.850,,5.125,6.280,20.600,7.100,,2.599,12.944,3.333,
"Jan 06, 2021",1.726,0.977,1.272,0.592,1.243,4.515,2.075,0.644,2.398,9.279,3.250,7.100,1.77,2.394,1.773,18.490,1.358,4.399,5.159,,0.861,17.400,0.888,1.902,7.699,1.810,2.188,11.000,3.422,1.610,2.618,19.000,1.485,18.000,,4.300,1.384,2.981,8.813,,5.068,6.270,20.410,6.950,,2.646,12.987,3.247,3.710
"Jan 05, 2021",1.727,0.983,1.281,0.603,1.255,4.555,2.069,0.660,2.393,9.296,3.310,7.050,1.79,2.500,1.801,18.490,1.359,4.400,5.150,3.209,0.865,17.460,0.888,1.924,7.552,1.838,2.215,10.930,3.421,1.673,2.687,18.980,1.509,18.230,,4.301,1.400,3.015,8.851,,5.173,6.270,20.640,6.910,,2.550,12.987,,3.661
"Jan 04, 2021",1.740,0.971,1.280,0.600,1.251,4.510,2.043,0.653,2.390,9.212,3.200,7.050,1.79,2.430,1.785,18.050,1.360,4.355,5.120,3.209,0.855,17.160,0.880,1.915,7.490,1.805,2.200,10.850,3.398,1.679,2.690,18.890,1.489,17.900,,4.259,1.398,3.000,8.875,,5.085,6.298,20.890,6.750,,2.649,12.987,3.247,
"Jan 03, 2021",1.690,0.969,1.271,0.598,1.251,4.520,2.049,0.650,2.361,9.110,3.187,6.999,1.78,2.387,1.790,17.920,1.343,4.347,5.072,,0.847,17.110,0.885,1.892,7.397,1.806,2.223,10.860,3.405,1.660,2.694,18.910,1.492,17.800,,4.150,,2.971,8.840,,5.077,6.286,20.650,6.800,,2.450,12.987,,
"Jan 02, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 01, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
